"Lon";"Lat";"scientificName";"year";"month";"day";"accessRights";"bibliographicCitation";"X_leaflet_id";"layerId";"edit_id"
"176";14.32488;40.61848;"Paramuricea clavata";"2008";"9";"18";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"177";11.0688;42.4191;"Paramuricea clavata";"2014";"7";"26";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"178";7.91291;43.81936;"Paramuricea clavata";"2016";"7";"31";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"179";5.23;43.1979;"Paramuricea clavata";"2017";"11";"22";"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Chic, Oscar; Garrabou, Joaquim. (2020) Global Marine biodiversity data from Seawatchers Marine Citizen Science Platform between 1980 and 2020 https://dx.doi.org/10.14284/519 NA Coral Alert! (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.505972";211;"211";"211"
"180";11.0815;42.41852;"Paramuricea clavata";"2009";"6";"28";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"181";9.21901;44.29851;"Paramuricea clavata";"2014";"7";"31";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"182";9.22;44.2969;"Paramuricea clavata";"2003";NA;NA;"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Linares, Cristina; Figuerola, Laura; Gómez-Gras, Daniel; Pagès-Escolà, Marta; Olvera, Àngela, Aubach, Àlex; Amate, Roger; Figuerola, Blanca; Kersting, Diego; Ledoux, Jean-Baptiste; López-Sanz, Àngel; López-Sendino, Paula; Medrano, Alba; Garrabou, Joaquim; (2020); CorMedNet- Distribution and demographic data of habitat-forming invertebrate species from Mediterranean coralligenous assemblages between 1882 and 2019 https://dx.doi.org/10.14284/467 NA CorMedNet1 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.819617";211;"211";"211"
"183";3.2028;41.885;"Paramuricea clavata";"2018";"6";"23";"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Chic, Oscar; Garrabou, Joaquim. (2020) Global Marine biodiversity data from Seawatchers Marine Citizen Science Platform between 1980 and 2020 https://dx.doi.org/10.14284/519 NA Coral Alert! (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.505972";211;"211";"211"
"184";14.8212;44.9703;"Paramuricea clavata";"2014";NA;NA;"Attribution-NonCommercial-ShareAlike (CC BY-NC-SA)";"Garrabou, Joaquim; Bazairi, Hocein; Espinosa, Free; Ramdani, Mohamed; Grimes, Samir; Benabdi, Mouloud; Ben Souissi, Jamila; Soufi, Emna; Khamassi, Faten; Ghanem, Raouia; Ocaña, Óscar; Ramos Esplá, Alfonso A.; Izquierdo, Andrés; Antón, Irene; Portillo, Esther; Barberá, Carmen; Marbà, Núria; Hendriks, Iris E.; Duarte, Carlos M.; Cebrian, Emma; Deudero Company, María de la Salud; Díaz, David; Vázquez-Luis, Maite; Álvarez, Elvira; Linares, Cristina; Hereu, Bernat; Kersting, D. K.; Bensoussan, Nathaniel; Gómez-Gras, D.; Azzurro, Ernesto; Ledoux, J. B.; Gori, Andrea; Viladrich, Nuria; Sartoretto, Stéphane; Pairaud, Ivane Lilian; Ruitton, Sandrine; Fraschetti, Simonetta; Rivetti, Irene; Cerrano, Carlo; Ponti, Massimo; Bavestrello, G.; Cattaneo-Vietti, R.; Bo, Marzia; Bertolino, Marco; Montefalcone, Monica; Kipson, Silvija; Bakran-Petricioli, Tatjana; Gerovasileiou, Vasilis; Sini, Maria; Tuney Kizilkaya, Inci; Zilizkaya, Zafer; Eda Topçu, N.; Rilov, Gil ; 2018; \"MME-T-MEDNet: Mass mortality events in Mediterranean marine coastal ecosystems [Dataset]\"; DIGITAL.CSIC; http://dx.doi.org/10.20350/digitalCSIC/8575 NA MME-T-MEDNet: Mass mortality events in Mediterranean marine coastal ecosystems (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:22.072661";211;"211";"211"
"185";9.14394;44.32114;"Paramuricea clavata";"2010";"6";"6";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"186";9.14479;44.32044;"Paramuricea clavata";"2013";"11";"29";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"187";10.3185;42.7342;"Paramuricea clavata";"2019";"7";"16";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"188";9.14527;44.32027;"Paramuricea clavata";"2013";"11";"29";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"189";9.21953;44.29798;"Paramuricea clavata";"2010";"10";"17";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"190";3.2007;41.886;"Paramuricea clavata";"2017";"6";"12";"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Chic, Oscar; Garrabou, Joaquim. (2020) Global Marine biodiversity data from Seawatchers Marine Citizen Science Platform between 1980 and 2020 https://dx.doi.org/10.14284/519 NA Coral Alert! (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.505972";211;"211";"211"
"191";9.22;44.2969;"Paramuricea clavata";"1993";NA;NA;"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Linares, Cristina; Figuerola, Laura; Gómez-Gras, Daniel; Pagès-Escolà, Marta; Olvera, Àngela, Aubach, Àlex; Amate, Roger; Figuerola, Blanca; Kersting, Diego; Ledoux, Jean-Baptiste; López-Sanz, Àngel; López-Sendino, Paula; Medrano, Alba; Garrabou, Joaquim; (2020); CorMedNet- Distribution and demographic data of habitat-forming invertebrate species from Mediterranean coralligenous assemblages between 1882 and 2019 https://dx.doi.org/10.14284/467 NA CorMedNet1 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.819617";211;"211";"211"
"192";9.85135;44.0224;"Paramuricea clavata";"1999";NA;NA;"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Linares, Cristina; Figuerola, Laura; Gómez-Gras, Daniel; Pagès-Escolà, Marta; Olvera, Àngela, Aubach, Àlex; Amate, Roger; Figuerola, Blanca; Kersting, Diego; Ledoux, Jean-Baptiste; López-Sanz, Àngel; López-Sendino, Paula; Medrano, Alba; Garrabou, Joaquim; (2020); CorMedNet- Distribution and demographic data of habitat-forming invertebrate species from Mediterranean coralligenous assemblages between 1882 and 2019 https://dx.doi.org/10.14284/467 NA CorMedNet1 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.819617";211;"211";"211"
"193";9.21798;44.29822;"Paramuricea clavata";"2014";"9";"28";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"194";24.8470001220703;39.5250015258789;"Paramuricea clavata";"1937";NA;NA;"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Koukouras A., 2000: Northern Aegean dataset. Aristotelian University of Thessaloniki Department of Zoology and Zoological Museum, School of Biology, Greece AUTH Aegean macrobenthic fauna (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:22.80887";211;"211";"211"
"195";8.10157;43.8679;"Paramuricea clavata";"2011";"12";"8";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"196";-2.43082;35.18416;"Paramuricea clavata";"2015";NA;NA;"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Linares, Cristina; Figuerola, Laura; Gómez-Gras, Daniel; Pagès-Escolà, Marta; Olvera, Àngela, Aubach, Àlex; Amate, Roger; Figuerola, Blanca; Kersting, Diego; Ledoux, Jean-Baptiste; López-Sanz, Àngel; López-Sendino, Paula; Medrano, Alba; Garrabou, Joaquim; (2020); CorMedNet- Distribution and demographic data of habitat-forming invertebrate species from Mediterranean coralligenous assemblages between 1882 and 2019 https://dx.doi.org/10.14284/467 NA CorMedNet1 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.819617";211;"211";"211"
"197";10.54832;42.85613;"Paramuricea clavata";"2019";"7";"22";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"198";5.3903;43.1726;"Paramuricea clavata";NA;NA;NA;"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Linares, Cristina; Figuerola, Laura; Gómez-Gras, Daniel; Pagès-Escolà, Marta; Olvera, Àngela, Aubach, Àlex; Amate, Roger; Figuerola, Blanca; Kersting, Diego; Ledoux, Jean-Baptiste; López-Sanz, Àngel; López-Sendino, Paula; Medrano, Alba; Garrabou, Joaquim; (2020); CorMedNet- Distribution and demographic data of habitat-forming invertebrate species from Mediterranean coralligenous assemblages between 1882 and 2019 https://dx.doi.org/10.14284/467 NA CorMedNet1 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.819617";211;"211";"211"
"199";15.2146;38.7709;"Paramuricea clavata";"2010";"8";"1";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"200";9.21798;44.29822;"Paramuricea clavata";"2014";"9";"5";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"201";9.14479;44.32044;"Paramuricea clavata";"2013";"7";"18";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"202";10.2621;43.5388;"Paramuricea clavata";NA;NA;NA;"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Linares, Cristina; Figuerola, Laura; Gómez-Gras, Daniel; Pagès-Escolà, Marta; Olvera, Àngela, Aubach, Àlex; Amate, Roger; Figuerola, Blanca; Kersting, Diego; Ledoux, Jean-Baptiste; López-Sanz, Àngel; López-Sendino, Paula; Medrano, Alba; Garrabou, Joaquim; (2020); CorMedNet- Distribution and demographic data of habitat-forming invertebrate species from Mediterranean coralligenous assemblages between 1882 and 2019 https://dx.doi.org/10.14284/467 NA CorMedNet1 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.819617";211;"211";"211"
"203";9.21833;44.29805;"Paramuricea clavata";"2013";"11";"15";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"204";15.23168;38.77487;"Paramuricea clavata";"2010";"8";"1";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"205";16.31056;43.17889;"Paramuricea clavata";NA;NA;NA;"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Linares, Cristina; Figuerola, Laura; Gómez-Gras, Daniel; Pagès-Escolà, Marta; Olvera, Àngela, Aubach, Àlex; Amate, Roger; Figuerola, Blanca; Kersting, Diego; Ledoux, Jean-Baptiste; López-Sanz, Àngel; López-Sendino, Paula; Medrano, Alba; Garrabou, Joaquim; (2020); CorMedNet- Distribution and demographic data of habitat-forming invertebrate species from Mediterranean coralligenous assemblages between 1882 and 2019 https://dx.doi.org/10.14284/467 NA CorMedNet1 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.819617";211;"211";"211"
"206";15.4775;42.0988;"Paramuricea clavata";"2012";NA;NA;"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Linares, Cristina; Figuerola, Laura; Gómez-Gras, Daniel; Pagès-Escolà, Marta; Olvera, Àngela, Aubach, Àlex; Amate, Roger; Figuerola, Blanca; Kersting, Diego; Ledoux, Jean-Baptiste; López-Sanz, Àngel; López-Sendino, Paula; Medrano, Alba; Garrabou, Joaquim; (2020); CorMedNet- Distribution and demographic data of habitat-forming invertebrate species from Mediterranean coralligenous assemblages between 1882 and 2019 https://dx.doi.org/10.14284/467 NA CorMedNet1 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.819617";211;"211";"211"
"207";6.3627;43.0186;"Paramuricea clavata";NA;NA;NA;"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Linares, Cristina; Figuerola, Laura; Gómez-Gras, Daniel; Pagès-Escolà, Marta; Olvera, Àngela, Aubach, Àlex; Amate, Roger; Figuerola, Blanca; Kersting, Diego; Ledoux, Jean-Baptiste; López-Sanz, Àngel; López-Sendino, Paula; Medrano, Alba; Garrabou, Joaquim; (2020); CorMedNet- Distribution and demographic data of habitat-forming invertebrate species from Mediterranean coralligenous assemblages between 1882 and 2019 https://dx.doi.org/10.14284/467 NA CorMedNet1 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.819617";211;"211";"211"
"208";3.2188;42.2324;"Paramuricea clavata";NA;NA;NA;"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Linares, Cristina; Figuerola, Laura; Gómez-Gras, Daniel; Pagès-Escolà, Marta; Olvera, Àngela, Aubach, Àlex; Amate, Roger; Figuerola, Blanca; Kersting, Diego; Ledoux, Jean-Baptiste; López-Sanz, Àngel; López-Sendino, Paula; Medrano, Alba; Garrabou, Joaquim; (2020); CorMedNet- Distribution and demographic data of habitat-forming invertebrate species from Mediterranean coralligenous assemblages between 1882 and 2019 https://dx.doi.org/10.14284/467 NA CorMedNet1 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.819617";211;"211";"211"
"209";9.21901;44.29851;"Paramuricea clavata";"2013";"8";"20";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"210";-0.90299;35.77063;"Paramuricea clavata";NA;NA;NA;"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Linares, Cristina; Figuerola, Laura; Gómez-Gras, Daniel; Pagès-Escolà, Marta; Olvera, Àngela, Aubach, Àlex; Amate, Roger; Figuerola, Blanca; Kersting, Diego; Ledoux, Jean-Baptiste; López-Sanz, Àngel; López-Sendino, Paula; Medrano, Alba; Garrabou, Joaquim; (2020); CorMedNet- Distribution and demographic data of habitat-forming invertebrate species from Mediterranean coralligenous assemblages between 1882 and 2019 https://dx.doi.org/10.14284/467 NA CorMedNet1 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.819617";211;"211";"211"
"211";16.0894;38.7422;"Paramuricea clavata";NA;NA;NA;"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Linares, Cristina; Figuerola, Laura; Gómez-Gras, Daniel; Pagès-Escolà, Marta; Olvera, Àngela, Aubach, Àlex; Amate, Roger; Figuerola, Blanca; Kersting, Diego; Ledoux, Jean-Baptiste; López-Sanz, Àngel; López-Sendino, Paula; Medrano, Alba; Garrabou, Joaquim; (2020); CorMedNet- Distribution and demographic data of habitat-forming invertebrate species from Mediterranean coralligenous assemblages between 1882 and 2019 https://dx.doi.org/10.14284/467 NA CorMedNet1 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.819617";211;"211";"211"
"212";9.20631;41.25113;"Paramuricea clavata";"2015";NA;NA;"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Linares, Cristina; Figuerola, Laura; Gómez-Gras, Daniel; Pagès-Escolà, Marta; Olvera, Àngela, Aubach, Àlex; Amate, Roger; Figuerola, Blanca; Kersting, Diego; Ledoux, Jean-Baptiste; López-Sanz, Àngel; López-Sendino, Paula; Medrano, Alba; Garrabou, Joaquim; (2020); CorMedNet- Distribution and demographic data of habitat-forming invertebrate species from Mediterranean coralligenous assemblages between 1882 and 2019 https://dx.doi.org/10.14284/467 NA CorMedNet1 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.819617";211;"211";"211"
"213";7.91291;43.81936;"Paramuricea clavata";"2015";"10";"18";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"214";12.29573;37.91038;"Paramuricea clavata";"2010";"8";"1";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"215";-0.90212;35.77023;"Paramuricea clavata";NA;NA;NA;"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Linares, Cristina; Figuerola, Laura; Gómez-Gras, Daniel; Pagès-Escolà, Marta; Olvera, Àngela, Aubach, Àlex; Amate, Roger; Figuerola, Blanca; Kersting, Diego; Ledoux, Jean-Baptiste; López-Sanz, Àngel; López-Sendino, Paula; Medrano, Alba; Garrabou, Joaquim; (2020); CorMedNet- Distribution and demographic data of habitat-forming invertebrate species from Mediterranean coralligenous assemblages between 1882 and 2019 https://dx.doi.org/10.14284/467 NA CorMedNet1 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.819617";211;"211";"211"
"216";23.9276;39.2655;"Paramuricea clavata";"2007";NA;NA;"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Linares, Cristina; Figuerola, Laura; Gómez-Gras, Daniel; Pagès-Escolà, Marta; Olvera, Àngela, Aubach, Àlex; Amate, Roger; Figuerola, Blanca; Kersting, Diego; Ledoux, Jean-Baptiste; López-Sanz, Àngel; López-Sendino, Paula; Medrano, Alba; Garrabou, Joaquim; (2020); CorMedNet- Distribution and demographic data of habitat-forming invertebrate species from Mediterranean coralligenous assemblages between 1882 and 2019 https://dx.doi.org/10.14284/467 NA CorMedNet1 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.819617";211;"211";"211"
"217";10.9178;42.36889;"Paramuricea clavata";"2007";"4";"28";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
